show_id,type,title,country,date_added,release_year,rating,duration,listed_in,description,duration_cleaned
s1,0,Dick Johnson Is Dead,United States,2021-09-25,0.6599304775080349,PG-13,90 min,Documentaries,"As her father nears the end of his life, filmmaker Kirsten Johnson stages his death in inventive and comical ways to help them both face the inevitable.",0.39655880320426856
s2,1,Blood & Water,South Africa,2021-09-24,0.7733244432755346,TV-MA,2 Seasons,"International TV Shows, TV Dramas, TV Mysteries","After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth.",-1.3355749334198246
s3,1,Ganglands,United States,2021-09-24,0.7733244432755346,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure","To protect his family from a powerful drug lord, skilled thief Mehdi and his expert team of robbers are pulled into a violent and deadly turf war.",-1.3552582713360075
s4,1,Jailbirds New Orleans,United States,2021-09-24,0.7733244432755346,TV-MA,1 Season,"Docuseries, Reality TV","Feuds, flirtations and toilet talk go down among the incarcerated women at the Orleans Justice Center in New Orleans on this gritty reality series.",-1.3552582713360075
s5,1,Kota Factory,India,2021-09-24,0.7733244432755346,TV-MA,2 Seasons,"International TV Shows, Romantic TV Shows, TV Comedies","In a city of coaching centers known to train India’s finest collegiate minds, an earnest but unexceptional student and his friends navigate campus life.",-1.3355749334198246
s6,1,Midnight Mass,United States,2021-09-24,0.7733244432755346,TV-MA,1 Season,"TV Dramas, TV Horror, TV Mysteries","The arrival of a charismatic young priest brings glorious miracles, ominous mysteries and renewed religious fervor to a dying town desperate to believe.",-1.3552582713360075
s7,0,My Little Pony: A New Generation,United States,2021-09-24,0.7733244432755346,PG,91 min,Children & Family Movies,"Equestria's divided. But a bright-eyed hero believes Earth Ponies, Pegasi and Unicorns should be pals — and, hoof to heart, she’s determined to prove it.",0.41624214112045144
s8,0,Sankofa,"United States, Ghana, Burkina Faso, United Kingdom, Germany, Ethiopia",2021-09-24,-2.401706598214457,TV-MA,125 min,"Dramas, Independent Movies, International Movies","On a photo shoot in Ghana, an American model slips back in time, becomes enslaved on a plantation and bears witness to the agony of her ancestral past.",1.0854756302706692
s9,1,The Great British Baking Show,United Kingdom,2021-09-24,0.7733244432755346,TV-14,9 Seasons,"British TV Shows, Reality TV","A talented batch of amateur bakers face off in a 10-week competition, whipping up their best dishes in the hopes of being named the U.K.'s best.",-1.1977915680065445
s10,0,The Starling,United States,2021-09-24,0.7733244432755346,PG-13,104 min,"Comedies, Dramas",A woman adjusting to life after a loss contends with a feisty bird that's taken over her garden — and a husband who's struggling to find a way forward.,0.6721255340308289
